year,rating,num_votes,title,recent_film,awarded
1910,5.6,29,The Connecticut Yankee,0,0
1910,4.7,38,Abraham Lincoln's Clemency,0,0
1910,6.7,38,The Sanitarium,0,0
1910,4.7,24,Rip Van Winkle,0,0
1910,5.7,57,Jane Eyre,0,0
1910,5.0,30,Gentleman Joe,0,0
1911,4.3,18,The Infant at Snakeville,0,0
1911,6.9,15,The Battle of Trafalgar,0,0
1911,3.1,26,Arrah-Na-Pogue,0,0
1911,3.7,18,A Dog's Tale,0,0
1911,3.8,37,Flaming Arrows,0,0
1911,3.7,25,The Padre,0,0
1912,4.0,45,Grannie,0,0
1912,5.0,11,The Reincarnation of Karma,0,0
1912,5.1,565,Cleopatra,0,0
1912,5.7,300,Richard III,0,0
1912,5.4,32,Pilgrim's Progress,0,0
1912,4.0,22,As You Like It,0,0
1912,5.8,620,From the Manger to the Cross,0,1
1912,6.4,31,What Happened to Mary,0,0
1912,5.1,30,Jess,0,0
1912,5.0,40,Oliver Twist,0,0
1912,4.4,37,The Adventures of Lieutenant Petrosino,0,0
1913,5.7,26,Tess of the D'Urbervilles,0,0
1913,5.7,55,Robin Hood,0,0
1913,5.6,85,Ivanhoe,0,0
1913,5.8,24,In the Bishop's Carriage,0,0
1913,5.7,19,Victory,0,0
1913,5.0,21,One Hundred Years of Mormonism,0,0
1913,5.2,29,Who Will Marry Mary?,0,0
1913,4.5,17,Voodoo Vengeance,0,0
1913,6.7,39,The Battle of Gettysburg,0,0
1913,5.9,51,The Prisoner of Zenda,0,0
1913,7.2,18,Arizona,0,0
1913,5.9,112,From Dusk to Dawn,0,0
1913,5.8,44,Dick Whittington and his Cat,0,0
1913,4.4,15,Sapho,0,0
1913,6.7,18,The Rattlesnake,0,0
1913,7.2,13,Through Fire and Air,0,0
1913,6.1,50,Lime Kiln Club Field Day,0,1
1913,5.5,45,The Adventures of Kathlyn,0,0
1913,5.5,67,The Count of Monte Cristo,0,0
1913,5.7,28,The Sea Wolf,0,0
1913,5.7,34,Ten Nights in a Barroom,0,0
1913,6.0,711,Traffic in Souls,0,1
1913,4.0,47,What 80 Million Women Want,0,0
1913,4.6,24,Shadows of the Moulin Rouge,0,0
1914,4.7,23,The Last Volunteer,0,0
1914,1.4,20,The Next in Command,0,0
1914,5.8,23,Martin Eden,0,0
1914,5.2,47,The Call of the North,0,0
1914,5.8,280,A Florida Enchantment,0,0
1914,5.6,178,Uncle Tom's Cabin,0,1
1914,5.5,537,The Patchwork Girl of Oz,0,0
1914,2.0,23,The Trey o' Hearts,0,0
1914,6.0,16,After the Ball,0,0
1914,6.1,32,The Stain,0,0
1914,6.4,1359,The Avenging Conscience: or 'Thou Shalt Not Kill',0,0
1914,6.1,35,My Official Wife,0,0
1914,6.8,21,The Valley of the Moon,0,0
1914,7.5,20,Jane Eyre,0,0
1914,6.2,40,The Million Dollar Mystery,0,0
1914,5.9,198,The Wrath of the Gods,0,0
1914,5.5,54,The Escape,0,0
1914,4.7,14,The Legend of Snow White,0,0
1914,6.5,20,The Land of the Lost,0,0
1914,5.2,18,The Eagle's Mate,0,0
1914,6.7,18,The Boundary Rider,0,0
1914,6.2,17,The Three Musketeers,0,0
1914,8.0,18,Captain Alvarez,0,0
1914,5.7,274,"Home, Sweet Home",0,0
1914,6.5,69,The Life of General Villa,0,0
1914,6.1,44,The Dishonored Medal,0,0
1914,6.7,19,The Mysterious Man of the Jungle,0,0
1914,5.7,29,Samson,0,0
1914,5.8,54,Neptune's Daughter,0,0
1914,6.5,52,Brewster's Millions,0,0
1914,6.5,24,Lucille Love: The Girl of Mystery,0,0
1914,6.2,100,The Battle of the Sexes,0,0
1914,5.6,23,Beating Back,0,0
1914,6.1,93,The Spoilers,0,0
1914,6.2,16,The Boer War,0,0
1914,6.0,256,Tess of the Storm Country,0,1
1914,6.4,1067,The Perils of Pauline,0,1
1914,6.2,1405,Judith of Bethulia,0,0
1914,5.7,26,A Good Little Devil,0,0
1914,6.6,24,Fire and Sword,0,0
1914,5.8,15,The Man Who Came Back,0,0
1914,5.4,34,The Merchant of Venice,0,0
1914,5.7,1008,The Squaw Man,0,0
1914,5.2,50,Joseph in the Land of Egypt,0,0
1914,6.0,67,The Active Life of Dolly of the Dailies,0,1
1914,7.4,13,The Indian Wars,0,0
1914,5.4,17,Manon Lescaut,0,0
1914,6.8,68,The Jungle,0,0
1914,5.0,17,The Lost Paradise,0,0
1914,6.3,3629,Tillie's Punctured Romance,0,0
1914,6.9,113,The Hazards of Helen,0,0
1914,3.1,42,Rose of the Rancho,0,0
1914,5.3,23,The Master Key,0,0
1914,6.6,16,The Man Who Could Not Lose,0,0
1914,5.2,37,Zudora,0,0
1914,6.4,42,Damon and Pythias,0,0
1914,4.2,22,Lola,0,0
1914,5.7,38,The Woman in Black,0,0
1914,7.2,19,Mrs. Black Is Back,0,0
